# THALASSA - GRAVITY FIELD FILE
# Contains normalized spherical harmonics coefficients and physical constants.
# Body:                              Earth
# Model:                             GRIM5-S1 (static)
# Max degree:                        99
# Max order:                         95
# GM [km^3/s^2]:                     3.986004414498200E+05
# Ellipsoid semi-major axis [km]:    6.378136460000000E+03
# 1/flattening:                      2.982576500000000E+02
# Angular velocity [rad/s]:          0.729211585530660E-04
# Normalized spherical harmonics coefficients:
#l  m                      Cbar                     Sbar
20 11   1.39391381949269999E-08 -1.78433488363450009E-08 
20 12  -5.70252055957889960E-09  1.80015571097460016E-08 
20 13   2.72124756852930002E-08  6.70955724410519962E-09 
20 14   1.15901766000629997E-08 -1.42283196430260008E-08 
20 15  -2.57131359070010006E-08 -1.12306360369600010E-09 
20 16  -1.26005838127649994E-08 -3.66377022704770011E-10 
20 17   4.47006701247470040E-09 -1.37118859810019996E-08 
20 18   1.47425562728559996E-08 -1.22373191518119993E-09 
20 19  -3.28913192790420010E-09  1.08462965273850005E-08 
20 20   3.79670498914839980E-09 -1.20590245313920007E-08 
21  0   2.84863070657999981E-09  0.00000000000000000E+00 
21  1  -1.34169984756479995E-08  2.59463293823289988E-08 
21  2  -8.15151709203319925E-09  3.77397740566260005E-10 
21  3   1.67009626658279991E-08  1.86664117364180000E-08 
21  4  -1.22934357335899993E-08  1.73005694436810016E-08 
21  5   8.61975379877929949E-09 -1.71846137900749997E-10 
21  6  -1.78592766011450001E-08 -8.83571687646179979E-10 
21  7  -9.36789821306989925E-09 -8.22258092843029984E-11 
21  8  -2.00172994489029999E-08 -2.47582167224370015E-09 
21  9   1.75441595262640012E-08  7.23950452543460014E-09 
21 10  -1.45125381599659992E-08  9.95459868242299963E-10 
21 11   9.50930192619490047E-09 -3.36331845690699998E-08 
21 12  -3.38189508079809992E-09  1.46172722794690002E-08 
21 13  -1.92756166712060003E-08  1.39724364932409992E-08 
21 14   2.03985477102909996E-08  7.10016080336470010E-09 
21 15   1.75968018988590004E-08  1.04143574559150003E-08 
21 16   7.25004096384400018E-09 -6.66270736071279959E-09 
21 17  -7.29804845055810038E-09 -6.84669877590319972E-09 
21 18   2.66987178450260008E-08 -1.10079193473450000E-08 
21 19  -2.76445518392070009E-08  1.66584282957230016E-08 
21 20  -2.69444338329030004E-08  1.59387052461510004E-08 
21 21   8.31094246364260030E-09 -3.77141583841099997E-09 
22  0  -1.04666989049640005E-08  0.00000000000000000E+00 
22  1   1.66014253471220004E-08  1.55212631544199995E-09 
22  2  -2.85399656705670015E-08 -2.06011504572239985E-09 
22  3   4.76253059037979960E-09  9.04542779556329931E-09 
22  4   4.71779067165839951E-10  1.34759451394449993E-08 
22  5  -7.20981895613849978E-09  1.48981593153910001E-09 
22  6   1.91560978979410013E-08 -1.69988534723959994E-10 
22  7   1.16622299048610006E-08  1.21064105237810004E-08 
22  8  -2.08657750196280008E-08  4.71988318550359962E-09 
22  9   3.88158443001250018E-09  3.07736249602409991E-09 
22 10   5.82758599320860036E-09  2.82370096706159984E-08 
22 11  -3.94854150710630012E-09 -1.99678312924010008E-08 
22 12   2.49039906829159989E-10 -7.16532506161920029E-09 
22 13  -1.68160159314709996E-08  1.96898542297469992E-08 
22 14   1.06397609377950001E-08  7.83369157070230015E-09 
22 15   2.58960168143029995E-08  4.79365216547419981E-09 
22 16   9.22882781216829984E-11 -7.24441111324240034E-09 
22 17   8.77610898534579927E-09 -1.48442111346410005E-08 
22 18   9.87223173932210009E-09 -1.57747213394020002E-08 
22 19   1.43435492644439999E-08 -3.42416234635700003E-09 
22 20  -1.65287944701219990E-08  1.99308084403449999E-08 
22 21  -2.54313456209520007E-08  2.42118921914850002E-08 
22 22  -9.95616917580389931E-09  2.56562009972220019E-09 
23  0  -1.75935996419600005E-08  0.00000000000000000E+00 
23  1   2.48943099926930015E-09  1.93925376578490004E-08 
23  2  -1.05602623363309992E-08 -2.54223472134959992E-09 
23  3  -1.89712570902290010E-08 -2.16254750928630006E-08 
23  4  -1.64958217880570013E-08  1.20713985122900004E-08 
23  5  -6.90973022795749986E-09 -2.12800957624460019E-09 
23  6  -4.44025981229350002E-09  1.76112613925079988E-08 
23  7  -1.75483290962089999E-09  2.83397955025840009E-09 
23  8   8.63649224183759938E-09  5.01588629085640030E-09 
23  9  -2.95722386248320000E-09 -1.04902678541009995E-08 
23 10   2.12936835579600016E-08 -5.10233592929149979E-09 
23 11   6.89313496760019991E-09  1.11182519682469996E-08 
23 12   1.71896154162320003E-08 -1.07314890219570005E-08 
23 13  -1.18656281269620008E-08 -5.40652665302669988E-09 
23 14   6.90779006771869986E-09 -1.15120490609170010E-09 
23 15   1.90725922006409993E-08 -3.86599673398670015E-09 
23 16   5.73728626602899981E-09  1.16565971568029993E-08 
23 17  -4.98590037363129984E-09 -1.26274377822409998E-08 
23 18   8.46253731299529940E-09 -1.46881222554019996E-08 
23 19  -5.40205825029999992E-09  1.09324574854599997E-08 
23 20   8.03992520043490064E-09 -5.44310998278280034E-09 
23 21   1.55167099027079985E-08  1.15967444419299995E-08 
23 22  -1.82296334044209999E-08  4.78111067296259961E-09 
23 23   3.47273238805260007E-09 -1.22472453963910003E-08 
24  0   3.64048283820900008E-10  0.00000000000000000E+00 
24  1  -6.04796410920560032E-09 -6.60483248328920028E-09 
24  2   1.89827547747880014E-09  1.24841987214019996E-08 
24  3  -2.67795993531520001E-09 -1.01983034183670001E-08 
24  4   7.35176271107419963E-09  8.04243650384919928E-09 
24  5  -2.27141664867159981E-09 -2.37586385255460009E-08 
24  6  -2.86149127978540011E-09 -4.66392531974860025E-09 
24  7   1.81326642755609995E-09  1.38743167270070006E-09 
24  8   1.31745119809739993E-08 -5.14013938040060039E-09 
24  9  -1.09690425794000007E-08 -1.28307901262170000E-08 
24 10   1.12646812061210005E-08  1.39760938381610005E-08 
24 11   1.33660884333030000E-08  2.02410500474660010E-08 
24 12   1.59346753843679995E-08 -8.15289071423190070E-09 
24 13  -3.83803461008029969E-09  2.79962605060400001E-09 
24 14  -1.94067971596000005E-08 -8.53322732401410027E-10 
24 15   6.69167540694160000E-09 -1.64317959254910006E-08 
24 16   7.60783992670429981E-09  2.36078011373149990E-09 
24 17  -1.22454413960279993E-08 -6.23886723946039999E-09 
24 18  -7.99442603560989979E-10 -1.00752454199199994E-08 
24 19  -4.11779265615129980E-09 -8.65202903314359980E-09 
24 20  -5.20992538201900034E-09  8.92209015030769981E-09 
24 21   5.54139250187949994E-09  1.39506432783180004E-08 
24 22   4.09497917616570015E-09 -2.98089037364249999E-09 
24 23  -5.98130581046610019E-09 -8.58891563567759973E-09 
24 24   1.25928174233930006E-08 -4.19934737694109963E-09 
25  0   1.25921712066200000E-09  0.00000000000000000E+00 
25  1   1.70976136442999997E-08 -1.09629052815660003E-08 
25  2   1.95370768661119997E-08  8.61510687168809981E-09 
25  3  -1.46212265880829993E-08 -9.41402697103600066E-09 
25  4   7.41518985281229979E-09 -4.42025067791760015E-09 
25  5  -3.73402694376899986E-09  5.14558134209860033E-09 
25  6   6.23635354161100034E-09  7.12740455565669966E-10 
25  7   3.46797908494569995E-09 -9.70455961135009934E-09 
25  8   4.52891784499190017E-09 -5.44902732809549982E-09 
25  9  -2.50151512503969991E-08  1.98868489947379992E-08 
25 10   2.38407658995319999E-09 -3.50953022531349985E-09 
25 11   6.17801004212509981E-09  1.56137767605999995E-08 
25 12  -8.55474259940629957E-09  1.13788161513870005E-08 
25 13   8.40432492144530061E-09 -1.10556811337960000E-08 
25 14  -1.97036183144180010E-08  5.94249455930330037E-09 
25 15  -4.63822730163250007E-09 -6.96208638511049998E-09 
25 16   9.10291441877879975E-10 -1.30198164453649997E-08 
25 17  -1.60562995600960011E-08 -2.87940079082919997E-09 
25 18   1.55080066417130009E-09 -1.46751150233629994E-08 
25 19   7.70148667782379921E-09  9.97974145751709993E-09 
25 20  -7.86500504568589948E-09 -1.26463496257880005E-09 
25 21   1.01351067238649998E-08  7.21853761152530004E-09 
25 22  -1.39003703313989995E-08  4.25507563574629998E-09 
25 23   9.19842696897820033E-09 -1.26537985496009993E-08 
25 24   4.26380142241940012E-09 -8.21918264310200042E-09 
25 25   1.03235264475189999E-08  5.27318062514520036E-09 
26  0   3.35823345907070022E-10  0.00000000000000000E+00 
26  1   1.63359304451230006E-09 -2.00327665818339985E-09 
26  2   8.53629196576520024E-10  1.40824967416539994E-08 
26  3   1.53673161647340011E-08  7.20166916983429983E-09 
26  4   1.25261989054549994E-08 -2.11025027534470005E-08 
26  5   1.38220957523950001E-08  1.04552375247580001E-08 
26  6   9.44183617750919920E-09 -5.00921215696180037E-09 
26  7  -8.86347326105140016E-09  6.09298775506770028E-09 
26  8   4.73480161923590019E-09  2.47212145729740017E-09 
26  9  -1.09156741634550004E-08 -4.81215184972799980E-09 
26 10  -1.42054989129010007E-08  5.22936739222049983E-10 
26 11  -1.81836619126119999E-09 -8.10185381423110029E-10 
26 12  -2.43744279169789999E-08  6.51729931912149996E-09 
26 13   1.70013428047220002E-09  2.12604540623079990E-09 
26 14   6.40330930153930006E-09  5.68002298996710001E-09 
26 15  -1.34023756142929998E-08  8.35064413262200043E-09 
26 16   2.12577690831020004E-09 -6.39704236563069974E-09 
26 17  -1.16995356651830000E-08  7.29491711649360027E-09 
26 18  -1.38058193507010000E-08  4.29662605735649962E-09 
26 19  -2.45911650813289996E-09  4.08884156556540024E-09 
